=== Experiment V2_coco: M7 COCO warm-start from VOC + AMP + bigger batch ===
Log: /workspace/SNN/logs/cifar100_detect_V2_coco.log
dataset=coco  batch=20  img=416  epochs=15  warmup=2  amp=True
loading annotations into memory...
Done (t=13.35s)
creating index...
index created!
loading annotations into memory...
Done (t=0.59s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection] loaded 899 keys, skipped 7, own-keys missing 1
  missing: ['conv_stem.weight']
Warm-started from cifar100_detect_V1_best.pth: loaded 934 keys, skipped 2 (shape/class mismatches)
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 0/5914  loss=1.8702  (cls 1.1670 bbox 0.7032)  0.05 it/s  gpu_mem=21873 MB
  iter 100/5914  loss=1.6007  (cls 0.7476 bbox 0.8531)  1.09 it/s  gpu_mem=22261 MB
  iter 200/5914  loss=1.3625  (cls 0.7625 bbox 0.6000)  1.22 it/s  gpu_mem=22261 MB
  iter 300/5914  loss=1.4240  (cls 0.8050 bbox 0.6190)  1.27 it/s  gpu_mem=22261 MB
  iter 400/5914  loss=1.3968  (cls 0.7131 bbox 0.6837)  1.30 it/s  gpu_mem=22261 MB
  iter 500/5914  loss=1.3723  (cls 0.6785 bbox 0.6938)  1.32 it/s  gpu_mem=22261 MB
  iter 600/5914  loss=1.4459  (cls 0.7148 bbox 0.7310)  1.33 it/s  gpu_mem=22261 MB
  iter 700/5914  loss=1.5021  (cls 0.7637 bbox 0.7384)  1.34 it/s  gpu_mem=22261 MB
  iter 800/5914  loss=1.3871  (cls 0.6509 bbox 0.7362)  1.35 it/s  gpu_mem=22263 MB
  iter 900/5914  loss=1.2548  (cls 0.7460 bbox 0.5089)  1.35 it/s  gpu_mem=22263 MB
  iter 1000/5914  loss=1.4842  (cls 0.7491 bbox 0.7351)  1.35 it/s  gpu_mem=22263 MB
  iter 1100/5914  loss=1.4279  (cls 0.6784 bbox 0.7495)  1.36 it/s  gpu_mem=22263 MB
  iter 1200/5914  loss=1.4577  (cls 0.7330 bbox 0.7247)  1.36 it/s  gpu_mem=22263 MB
  iter 1300/5914  loss=1.1687  (cls 0.6469 bbox 0.5218)  1.36 it/s  gpu_mem=22263 MB
  iter 1400/5914  loss=1.4470  (cls 0.6969 bbox 0.7501)  1.36 it/s  gpu_mem=22263 MB
  iter 1500/5914  loss=1.2275  (cls 0.6867 bbox 0.5407)  1.37 it/s  gpu_mem=22263 MB
  iter 1600/5914  loss=1.4434  (cls 0.7552 bbox 0.6882)  1.37 it/s  gpu_mem=22263 MB
  iter 1700/5914  loss=1.5146  (cls 0.7509 bbox 0.7637)  1.37 it/s  gpu_mem=22263 MB
  iter 1800/5914  loss=1.3713  (cls 0.7330 bbox 0.6383)  1.37 it/s  gpu_mem=22263 MB
  iter 1900/5914  loss=1.3373  (cls 0.7499 bbox 0.5874)  1.37 it/s  gpu_mem=22263 MB
  iter 2000/5914  loss=1.4271  (cls 0.7408 bbox 0.6863)  1.37 it/s  gpu_mem=22263 MB
  iter 2100/5914  loss=1.2120  (cls 0.6588 bbox 0.5532)  1.37 it/s  gpu_mem=22263 MB
  iter 2200/5914  loss=1.2719  (cls 0.6901 bbox 0.5819)  1.37 it/s  gpu_mem=22263 MB
  iter 2300/5914  loss=1.3125  (cls 0.6306 bbox 0.6819)  1.37 it/s  gpu_mem=22263 MB
  iter 2400/5914  loss=1.2646  (cls 0.7061 bbox 0.5585)  1.37 it/s  gpu_mem=22263 MB
  iter 2500/5914  loss=1.3025  (cls 0.6433 bbox 0.6592)  1.38 it/s  gpu_mem=22263 MB
  iter 2600/5914  loss=1.2355  (cls 0.6842 bbox 0.5513)  1.38 it/s  gpu_mem=22263 MB
  iter 2700/5914  loss=1.3172  (cls 0.6713 bbox 0.6459)  1.38 it/s  gpu_mem=22263 MB
  iter 2800/5914  loss=1.5342  (cls 0.7215 bbox 0.8128)  1.38 it/s  gpu_mem=22263 MB
  iter 2900/5914  loss=1.1842  (cls 0.5983 bbox 0.5859)  1.38 it/s  gpu_mem=22263 MB
  iter 3000/5914  loss=1.1812  (cls 0.7050 bbox 0.4762)  1.38 it/s  gpu_mem=22263 MB
  iter 3100/5914  loss=1.4822  (cls 0.7755 bbox 0.7067)  1.38 it/s  gpu_mem=22263 MB
  iter 3200/5914  loss=1.1087  (cls 0.6705 bbox 0.4382)  1.38 it/s  gpu_mem=22263 MB
  iter 3300/5914  loss=1.1800  (cls 0.6386 bbox 0.5415)  1.38 it/s  gpu_mem=22263 MB
  iter 3400/5914  loss=1.5023  (cls 0.7204 bbox 0.7819)  1.38 it/s  gpu_mem=22263 MB
  iter 3500/5914  loss=1.2797  (cls 0.6988 bbox 0.5809)  1.38 it/s  gpu_mem=22263 MB
  iter 3600/5914  loss=1.2927  (cls 0.6982 bbox 0.5945)  1.38 it/s  gpu_mem=22263 MB
  iter 3700/5914  loss=1.3804  (cls 0.7160 bbox 0.6643)  1.38 it/s  gpu_mem=22263 MB
  iter 3800/5914  loss=1.4060  (cls 0.7359 bbox 0.6701)  1.38 it/s  gpu_mem=22263 MB
