=== Experiment V3_imagenet: V3 ImageNet backbone + V2 head/FPN warm-start ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V3_imagenet.log
dataset=coco batch=20 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_detect_V2_coco_best.pth scope=head_fpn  aug=basic
USE_KD=False  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.59s)
creating index...
index created!
loading annotations into memory...
Done (t=0.55s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_detect_V2_coco_best.pth (scope=head_fpn): loaded 36 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
Resumed from epoch 4 (mAP: 0.197)
  iter 0/5914  loss=0.8745  (cls 0.4446 bbox 0.4299)  0.06 it/s  gpu_mem=21878 MB
  iter 100/5914  loss=0.9662  (cls 0.5024 bbox 0.4638)  1.13 it/s  gpu_mem=22109 MB
  iter 200/5914  loss=0.9768  (cls 0.4887 bbox 0.4880)  1.24 it/s  gpu_mem=22112 MB
  iter 300/5914  loss=0.9638  (cls 0.4604 bbox 0.5034)  1.28 it/s  gpu_mem=22112 MB
  iter 400/5914  loss=1.0708  (cls 0.5323 bbox 0.5385)  1.30 it/s  gpu_mem=22112 MB
  iter 500/5914  loss=1.0322  (cls 0.4179 bbox 0.6143)  1.31 it/s  gpu_mem=22112 MB
  iter 600/5914  loss=1.0419  (cls 0.4380 bbox 0.6039)  1.32 it/s  gpu_mem=22112 MB
  iter 700/5914  loss=1.0075  (cls 0.4838 bbox 0.5237)  1.33 it/s  gpu_mem=22112 MB
  iter 800/5914  loss=1.0459  (cls 0.5256 bbox 0.5203)  1.33 it/s  gpu_mem=22112 MB
  iter 900/5914  loss=0.9094  (cls 0.4614 bbox 0.4480)  1.34 it/s  gpu_mem=22112 MB
  iter 1000/5914  loss=0.9456  (cls 0.4641 bbox 0.4816)  1.34 it/s  gpu_mem=22112 MB
  iter 1100/5914  loss=0.9043  (cls 0.4079 bbox 0.4963)  1.34 it/s  gpu_mem=22112 MB
  iter 1200/5914  loss=0.9075  (cls 0.4015 bbox 0.5060)  1.34 it/s  gpu_mem=22112 MB
  iter 1300/5914  loss=0.8448  (cls 0.4169 bbox 0.4279)  1.35 it/s  gpu_mem=22112 MB
  iter 1400/5914  loss=1.1447  (cls 0.5300 bbox 0.6147)  1.35 it/s  gpu_mem=22112 MB
  iter 1500/5914  loss=1.2108  (cls 0.5134 bbox 0.6973)  1.35 it/s  gpu_mem=22112 MB
  iter 1600/5914  loss=0.7961  (cls 0.3993 bbox 0.3968)  1.35 it/s  gpu_mem=22112 MB
  iter 1700/5914  loss=1.0210  (cls 0.4232 bbox 0.5977)  1.35 it/s  gpu_mem=22112 MB
  iter 1800/5914  loss=0.9448  (cls 0.4212 bbox 0.5236)  1.35 it/s  gpu_mem=22112 MB
  iter 1900/5914  loss=0.7040  (cls 0.3293 bbox 0.3747)  1.35 it/s  gpu_mem=22112 MB
  iter 2000/5914  loss=0.9079  (cls 0.4810 bbox 0.4269)  1.36 it/s  gpu_mem=22112 MB
  iter 2100/5914  loss=0.8600  (cls 0.4701 bbox 0.3899)  1.35 it/s  gpu_mem=22112 MB
  iter 2200/5914  loss=1.0317  (cls 0.5086 bbox 0.5231)  1.35 it/s  gpu_mem=22112 MB
  iter 2300/5914  loss=0.8967  (cls 0.4345 bbox 0.4622)  1.36 it/s  gpu_mem=22112 MB
  iter 2400/5914  loss=1.0409  (cls 0.4544 bbox 0.5866)  1.36 it/s  gpu_mem=22112 MB
  iter 2500/5914  loss=0.8648  (cls 0.4522 bbox 0.4126)  1.36 it/s  gpu_mem=22112 MB
  iter 2600/5914  loss=0.8927  (cls 0.4778 bbox 0.4149)  1.36 it/s  gpu_mem=22112 MB
