=== Experiment V4_mosaic: V4 = V3 + Mosaic/MixUp ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V4_mosaic.log
dataset=coco batch=20 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V3_imagenet_best.pth scope=all  aug=strong
USE_KD=False  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.21s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 5914  Val batches: 250
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V3_imagenet_best.pth (scope=all): loaded 936 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
No resume checkpoint — fresh start for this experiment.
  iter 0/5914  loss=1.0795  (cls 0.4756 bbox 0.6039)  0.05 it/s  gpu_mem=21643 MB
  iter 100/5914  loss=1.5825  (cls 0.7210 bbox 0.8614)  1.12 it/s  gpu_mem=22033 MB
  iter 200/5914  loss=1.0630  (cls 0.4579 bbox 0.6050)  1.24 it/s  gpu_mem=22033 MB
  iter 300/5914  loss=1.5126  (cls 0.6461 bbox 0.8665)  1.29 it/s  gpu_mem=22033 MB
  iter 400/5914  loss=1.2028  (cls 0.5174 bbox 0.6855)  1.31 it/s  gpu_mem=22033 MB
  iter 500/5914  loss=1.1289  (cls 0.4099 bbox 0.7190)  1.33 it/s  gpu_mem=22033 MB
  iter 600/5914  loss=1.5949  (cls 0.5964 bbox 0.9985)  1.34 it/s  gpu_mem=22033 MB
  iter 700/5914  loss=1.0225  (cls 0.4246 bbox 0.5980)  1.34 it/s  gpu_mem=22033 MB
  iter 800/5914  loss=1.0217  (cls 0.4397 bbox 0.5821)  1.35 it/s  gpu_mem=22033 MB
  iter 900/5914  loss=1.6018  (cls 0.6598 bbox 0.9420)  1.35 it/s  gpu_mem=22033 MB
  iter 1000/5914  loss=1.5003  (cls 0.6452 bbox 0.8552)  1.36 it/s  gpu_mem=22033 MB
  iter 1100/5914  loss=1.5393  (cls 0.6715 bbox 0.8678)  1.36 it/s  gpu_mem=22033 MB
  iter 1200/5914  loss=1.0567  (cls 0.3972 bbox 0.6594)  1.36 it/s  gpu_mem=22034 MB
  iter 1300/5914  loss=1.0982  (cls 0.4175 bbox 0.6807)  1.36 it/s  gpu_mem=22034 MB
  iter 1400/5914  loss=1.6384  (cls 0.6048 bbox 1.0336)  1.36 it/s  gpu_mem=22034 MB
  iter 1500/5914  loss=1.1465  (cls 0.4546 bbox 0.6919)  1.36 it/s  gpu_mem=22034 MB
  iter 1600/5914  loss=1.4270  (cls 0.6151 bbox 0.8119)  1.37 it/s  gpu_mem=22034 MB
  iter 1700/5914  loss=1.6234  (cls 0.6283 bbox 0.9951)  1.37 it/s  gpu_mem=22034 MB
  iter 1800/5914  loss=1.0699  (cls 0.4347 bbox 0.6352)  1.37 it/s  gpu_mem=22034 MB
  iter 1900/5914  loss=1.4334  (cls 0.6306 bbox 0.8027)  1.37 it/s  gpu_mem=22034 MB
  iter 2000/5914  loss=1.3887  (cls 0.6606 bbox 0.7281)  1.37 it/s  gpu_mem=22034 MB
  iter 2100/5914  loss=1.0296  (cls 0.4736 bbox 0.5559)  1.37 it/s  gpu_mem=22034 MB
  iter 2200/5914  loss=1.5918  (cls 0.6850 bbox 0.9067)  1.37 it/s  gpu_mem=22034 MB
  iter 2300/5914  loss=1.7431  (cls 0.6903 bbox 1.0529)  1.37 it/s  gpu_mem=22034 MB
  iter 2400/5914  loss=1.2312  (cls 0.4381 bbox 0.7931)  1.37 it/s  gpu_mem=22034 MB
  iter 2500/5914  loss=1.3613  (cls 0.6458 bbox 0.7155)  1.37 it/s  gpu_mem=22034 MB
