=== Experiment V5_kd: V5 = V4 + KD from ANN teacher (enable via USE_KD) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V5_kd.log
dataset=coco batch=10 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V4_mosaic_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.15s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.53s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V4_mosaic_best.pth (scope=all): loaded 936 keys, skipped 0
Total params: 20,322,535  Trainable: 20,170,975
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
Resumed from epoch 7 (mAP: 0.292)
--- Epoch 8: unfreezing 3/4 backbone layer-groups, trainable params 20,170,975 ---
  iter 0/11828  loss=16.9477  (cls 0.3674 bbox 0.6127)  0.06 it/s  gpu_mem=21402 MB
  iter 100/11828  loss=16.1521  (cls 0.5075 bbox 0.7065)  1.13 it/s  gpu_mem=21854 MB
  iter 200/11828  loss=15.7050  (cls 0.6297 bbox 0.9843)  1.24 it/s  gpu_mem=21854 MB
  iter 300/11828  loss=17.4067  (cls 0.4743 bbox 0.9408)  1.29 it/s  gpu_mem=21854 MB
  iter 400/11828  loss=14.7245  (cls 0.5592 bbox 0.9068)  1.31 it/s  gpu_mem=21854 MB
  iter 500/11828  loss=13.7222  (cls 0.7153 bbox 0.8460)  1.32 it/s  gpu_mem=21854 MB
  iter 600/11828  loss=14.2634  (cls 0.4563 bbox 0.6412)  1.33 it/s  gpu_mem=21854 MB
  iter 700/11828  loss=16.8405  (cls 0.4925 bbox 0.5551)  1.34 it/s  gpu_mem=21854 MB
  iter 800/11828  loss=16.2596  (cls 0.6622 bbox 1.0209)  1.35 it/s  gpu_mem=21854 MB
  iter 900/11828  loss=16.0855  (cls 0.5364 bbox 0.7880)  1.35 it/s  gpu_mem=21854 MB
  iter 1000/11828  loss=14.4151  (cls 0.4314 bbox 0.5933)  1.35 it/s  gpu_mem=21854 MB
  iter 1100/11828  loss=15.6628  (cls 0.4089 bbox 0.7075)  1.35 it/s  gpu_mem=21854 MB
  iter 1200/11828  loss=18.2435  (cls 0.4271 bbox 0.4957)  1.36 it/s  gpu_mem=21854 MB
  iter 1300/11828  loss=17.1252  (cls 0.5268 bbox 0.9179)  1.36 it/s  gpu_mem=21854 MB
  iter 1400/11828  loss=16.3883  (cls 0.4435 bbox 0.5165)  1.36 it/s  gpu_mem=21854 MB
  iter 1500/11828  loss=15.3076  (cls 0.5459 bbox 0.9928)  1.36 it/s  gpu_mem=21854 MB
  iter 1600/11828  loss=15.4675  (cls 0.5230 bbox 0.6402)  1.36 it/s  gpu_mem=21854 MB
  iter 1700/11828  loss=15.4917  (cls 0.3479 bbox 0.4517)  1.36 it/s  gpu_mem=21854 MB
  iter 1800/11828  loss=14.5199  (cls 0.3801 bbox 0.5853)  1.36 it/s  gpu_mem=21854 MB
  iter 1900/11828  loss=14.6386  (cls 0.4487 bbox 0.7761)  1.36 it/s  gpu_mem=21854 MB
  iter 2000/11828  loss=13.7195  (cls 0.4008 bbox 0.4858)  1.37 it/s  gpu_mem=21854 MB
  iter 2100/11828  loss=16.3624  (cls 0.4720 bbox 0.7246)  1.37 it/s  gpu_mem=21854 MB
  iter 2200/11828  loss=16.4157  (cls 0.4803 bbox 0.4928)  1.37 it/s  gpu_mem=21854 MB
  iter 2300/11828  loss=13.5107  (cls 0.4041 bbox 0.6552)  1.37 it/s  gpu_mem=21854 MB
  iter 2400/11828  loss=15.7000  (cls 0.4187 bbox 0.6486)  1.37 it/s  gpu_mem=21854 MB
  iter 2500/11828  loss=14.2515  (cls 0.3594 bbox 0.4752)  1.37 it/s  gpu_mem=21854 MB
  iter 2600/11828  loss=15.6193  (cls 0.6204 bbox 0.8431)  1.37 it/s  gpu_mem=21854 MB
  iter 2700/11828  loss=13.7823  (cls 0.5754 bbox 0.7906)  1.37 it/s  gpu_mem=21854 MB
  iter 2800/11828  loss=13.9631  (cls 0.5580 bbox 0.4657)  1.37 it/s  gpu_mem=21854 MB
  iter 2900/11828  loss=16.6335  (cls 0.5987 bbox 1.0357)  1.37 it/s  gpu_mem=21854 MB
  iter 3000/11828  loss=15.4176  (cls 0.5248 bbox 0.8527)  1.37 it/s  gpu_mem=21854 MB
  iter 3100/11828  loss=14.7305  (cls 0.6302 bbox 0.8477)  1.37 it/s  gpu_mem=21854 MB
  iter 3200/11828  loss=15.1658  (cls 0.3699 bbox 0.5892)  1.37 it/s  gpu_mem=21854 MB
  iter 3300/11828  loss=15.3663  (cls 0.3950 bbox 0.6159)  1.37 it/s  gpu_mem=21854 MB
  iter 3400/11828  loss=17.9076  (cls 0.3999 bbox 0.5316)  1.37 it/s  gpu_mem=21854 MB
  iter 3500/11828  loss=15.6022  (cls 0.5960 bbox 0.7972)  1.37 it/s  gpu_mem=21854 MB
  iter 3600/11828  loss=15.4978  (cls 0.3728 bbox 0.5529)  1.37 it/s  gpu_mem=21854 MB
  iter 3700/11828  loss=16.0149  (cls 0.6853 bbox 0.7429)  1.37 it/s  gpu_mem=21854 MB
  iter 3800/11828  loss=14.8086  (cls 0.4475 bbox 0.6271)  1.37 it/s  gpu_mem=21854 MB
  iter 3900/11828  loss=16.2877  (cls 0.6452 bbox 0.7407)  1.37 it/s  gpu_mem=21854 MB
  iter 4000/11828  loss=15.4530  (cls 0.3842 bbox 0.4908)  1.37 it/s  gpu_mem=21854 MB
  iter 4100/11828  loss=17.2914  (cls 0.5927 bbox 0.7507)  1.37 it/s  gpu_mem=21854 MB
  iter 4200/11828  loss=15.8027  (cls 0.5190 bbox 0.5578)  1.37 it/s  gpu_mem=21854 MB
  iter 4300/11828  loss=17.8528  (cls 0.4504 bbox 0.4794)  1.37 it/s  gpu_mem=21854 MB
  iter 4400/11828  loss=14.6157  (cls 0.4143 bbox 0.6021)  1.37 it/s  gpu_mem=21854 MB
  iter 4500/11828  loss=13.8860  (cls 0.6887 bbox 0.8536)  1.37 it/s  gpu_mem=21854 MB
  iter 4600/11828  loss=17.7786  (cls 0.4360 bbox 0.6680)  1.37 it/s  gpu_mem=21854 MB
