=== Experiment V5b_atss: V5b = V5 + ATSS matcher fine-tune (8 epochs, no warmup) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V5b_atss.log
dataset=coco batch=10 img=416 epochs=8 warmup=0 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.26s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=all): loaded 936 keys, skipped 0
[ATSS] Replaced Matcher → ATSSMatcher(topk=9)
Total params: 20,322,535  Trainable: 20,170,975
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 9,078,783
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 17,518,795 ---
  iter 0/11828  loss=15.9769  (cls 0.5641 bbox 0.7798)  0.06 it/s  gpu_mem=18148 MB
  iter 100/11828  loss=15.1373  (cls 0.7005 bbox 0.8511)  1.23 it/s  gpu_mem=18684 MB
  iter 200/11828  loss=14.9532  (cls 0.7209 bbox 0.8693)  1.36 it/s  gpu_mem=18684 MB
  iter 300/11828  loss=16.5296  (cls 0.5426 bbox 0.8559)  1.41 it/s  gpu_mem=18684 MB
  iter 400/11828  loss=14.0647  (cls 0.6254 bbox 0.9827)  1.44 it/s  gpu_mem=18684 MB
  iter 500/11828  loss=13.8442  (cls 0.5847 bbox 0.5832)  1.45 it/s  gpu_mem=18684 MB
  iter 600/11828  loss=13.4514  (cls 0.5358 bbox 0.4919)  1.46 it/s  gpu_mem=18684 MB
  iter 700/11828  loss=15.8807  (cls 0.5806 bbox 0.6267)  1.47 it/s  gpu_mem=18684 MB
  iter 800/11828  loss=15.0276  (cls 0.6708 bbox 0.9047)  1.48 it/s  gpu_mem=18684 MB
  iter 900/11828  loss=15.3082  (cls 0.6328 bbox 0.7011)  1.48 it/s  gpu_mem=18684 MB
  iter 1000/11828  loss=14.1160  (cls 0.5725 bbox 0.8141)  1.49 it/s  gpu_mem=18684 MB
  iter 1100/11828  loss=14.9480  (cls 0.4755 bbox 0.6471)  1.49 it/s  gpu_mem=18684 MB
  iter 1200/11828  loss=15.2814  (cls 0.7491 bbox 0.8048)  1.49 it/s  gpu_mem=18684 MB
  iter 1300/11828  loss=16.2169  (cls 0.5765 bbox 0.7168)  1.50 it/s  gpu_mem=18684 MB
  iter 1400/11828  loss=15.8485  (cls 0.8245 bbox 0.9447)  1.50 it/s  gpu_mem=18684 MB
