=== Experiment V7_sanity: V7 1-epoch sanity check (full train + eval) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V7_sanity.log
dataset=coco batch=10 img=416 epochs=1 warmup=0 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=backbone_only  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.23s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.53s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=backbone_only): loaded 900 keys, skipped 24
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 0/11828  loss=115.5244  (cls 58.4523 ciou 3.4827 dfl 4.2430)  0.09 it/s  gpu_mem=17910 MB
  iter 100/11828  loss=68.7090  (cls 28.7849 ciou 2.3992 dfl 2.9692)  1.38 it/s  gpu_mem=18427 MB
  iter 200/11828  loss=45.1687  (cls 11.6455 ciou 2.4483 dfl 2.5611)  1.49 it/s  gpu_mem=18428 MB
  iter 300/11828  loss=32.9844  (cls 5.8703 ciou 2.5462 dfl 2.7603)  1.52 it/s  gpu_mem=18429 MB
  iter 400/11828  loss=31.2284  (cls 4.5293 ciou 2.6893 dfl 2.7309)  1.55 it/s  gpu_mem=18429 MB
  iter 500/11828  loss=32.8060  (cls 4.6274 ciou 2.2916 dfl 2.1058)  1.56 it/s  gpu_mem=18429 MB
  iter 600/11828  loss=30.8621  (cls 4.9941 ciou 2.1637 dfl 2.0682)  1.57 it/s  gpu_mem=18429 MB
  iter 700/11828  loss=28.4947  (cls 3.9165 ciou 1.9697 dfl 2.0707)  1.57 it/s  gpu_mem=18429 MB
  iter 800/11828  loss=27.8442  (cls 3.8187 ciou 2.0093 dfl 1.8961)  1.58 it/s  gpu_mem=18429 MB
  iter 900/11828  loss=26.8361  (cls 3.5011 ciou 2.3317 dfl 2.2906)  1.58 it/s  gpu_mem=18429 MB
  iter 1000/11828  loss=25.0438  (cls 3.0886 ciou 2.1441 dfl 1.8298)  1.58 it/s  gpu_mem=18429 MB
