=== Experiment V7_yolov8: V7 = V5 backbone + YOLOv8 head (TAL+CIoU+DFL via ultralytics) ===
Log: /workspace/SNN/logs/cifar100_spikedetect_V7_yolov8.log
dataset=coco batch=10 img=416 epochs=20 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V5_kd_best.pth scope=backbone_only  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=12.65s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.54s)
creating index...
index created!
Train batches: 11828  Val batches: 500
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V5_kd_best.pth (scope=backbone_only): loaded 900 keys, skipped 24
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 0/11828  loss=181.6930  (cls 116.8956 ciou 3.4911 dfl 4.2624)  0.09 it/s  gpu_mem=17909 MB
  iter 100/11828  loss=105.4268  (cls 58.5876 ciou 2.5233 dfl 3.2257)  1.38 it/s  gpu_mem=18428 MB
  iter 200/11828  loss=54.9200  (cls 16.0803 ciou 2.7699 dfl 3.0624)  1.48 it/s  gpu_mem=18428 MB
  iter 300/11828  loss=50.9538  (cls 16.2062 ciou 2.3492 dfl 2.5923)  1.52 it/s  gpu_mem=18428 MB
  iter 400/11828  loss=45.9851  (cls 9.7835 ciou 2.4336 dfl 2.5545)  1.54 it/s  gpu_mem=18428 MB
  iter 500/11828  loss=40.9806  (cls 7.7651 ciou 2.4183 dfl 2.3295)  1.55 it/s  gpu_mem=18428 MB
  iter 600/11828  loss=34.7767  (cls 6.5065 ciou 2.7120 dfl 2.8246)  1.56 it/s  gpu_mem=18428 MB
  iter 700/11828  loss=32.4066  (cls 4.9458 ciou 2.3517 dfl 2.6596)  1.57 it/s  gpu_mem=18428 MB
  iter 800/11828  loss=33.9714  (cls 6.2508 ciou 2.0731 dfl 2.1033)  1.57 it/s  gpu_mem=18428 MB
  iter 900/11828  loss=32.6914  (cls 5.2701 ciou 1.9873 dfl 2.0924)  1.58 it/s  gpu_mem=18428 MB
  iter 1000/11828  loss=29.3088  (cls 4.5488 ciou 2.1842 dfl 1.9396)  1.58 it/s  gpu_mem=18428 MB
  iter 1100/11828  loss=29.4328  (cls 3.8209 ciou 2.5013 dfl 2.5715)  1.58 it/s  gpu_mem=18428 MB
  iter 1200/11828  loss=30.8758  (cls 3.8592 ciou 2.0813 dfl 2.1797)  1.58 it/s  gpu_mem=18428 MB
