=== Experiment V8_512: V8 = V7 weights at 512x512, 30 epochs, batch=8, num_workers=14 ===
Log: /workspace/logs/cifar100_spikedetect_V8_512.log
dataset=coco batch=8 img=512 epochs=30 warmup=2 amp=True
backbone_source=imagenet_ann  warm_start=cifar100_spikedetect_V7_yolov8_best.pth scope=all  aug=strong
USE_KD=True  USE_SPIKING_HEAD=False
loading annotations into memory...
Done (t=10.39s)
creating index...
index created!
Wrapped train_set with MosaicDetection (prob=0.5)
loading annotations into memory...
Done (t=0.46s)
creating index...
index created!
Train batches: 14785  Val batches: 625
num_classes=81 (incl. background)
[SEWBackboneForDetection:imagenet_ann] loaded 660 keys, skipped 0, still-missing 240
Warm-started from cifar100_spikedetect_V7_yolov8_best.pth (scope=all): loaded 999 keys, skipped 0
Total params: 17,414,811  Trainable: 17,263,251
Loading ANN teacher: torchvision RetinaNet-R50-FPN-v2 @ 416...
Backbone trainable: 11,092,192
Head/FPN trainable: 6,171,059
USE_EMA=True  USE_PROGRESSIVE_UNFREEZE=True
No resume checkpoint — fresh start for this experiment.
--- Epoch 0: unfreezing 1/4 backbone layer-groups, trainable params 14,611,071 ---
  iter 0/14785  loss=20.7339  (cls 2.3560 ciou 1.9865 dfl 1.7073)  0.04 it/s  gpu_mem=21612 MB
  iter 100/14785  loss=18.3616  (cls 1.8233 ciou 1.5976 dfl 1.5096)  1.79 it/s  gpu_mem=22190 MB
  iter 200/14785  loss=18.3628  (cls 2.2411 ciou 1.8098 dfl 1.8659)  2.30 it/s  gpu_mem=22190 MB
  iter 300/14785  loss=17.5655  (cls 1.4938 ciou 1.4581 dfl 1.3466)  2.55 it/s  gpu_mem=22190 MB
  iter 400/14785  loss=20.5811  (cls 2.8058 ciou 2.2550 dfl 1.7828)  2.70 it/s  gpu_mem=22190 MB
  iter 500/14785  loss=18.3511  (cls 1.6505 ciou 1.5820 dfl 1.4234)  2.79 it/s  gpu_mem=22190 MB
  iter 600/14785  loss=18.3642  (cls 2.1609 ciou 1.5579 dfl 1.5899)  2.86 it/s  gpu_mem=22190 MB
  iter 700/14785  loss=19.4547  (cls 2.4501 ciou 1.8709 dfl 1.6721)  2.91 it/s  gpu_mem=22190 MB
  iter 800/14785  loss=19.2294  (cls 1.6575 ciou 1.5806 dfl 1.4343)  2.95 it/s  gpu_mem=22190 MB
  iter 900/14785  loss=19.7673  (cls 2.5969 ciou 1.8298 dfl 1.7764)  2.98 it/s  gpu_mem=22190 MB
  iter 1000/14785  loss=19.9001  (cls 1.6798 ciou 1.6756 dfl 1.3027)  3.01 it/s  gpu_mem=22190 MB
  iter 1100/14785  loss=18.6410  (cls 1.6008 ciou 1.4813 dfl 1.4116)  3.03 it/s  gpu_mem=22190 MB
  iter 1200/14785  loss=18.0460  (cls 1.7596 ciou 1.6718 dfl 1.4692)  3.04 it/s  gpu_mem=22190 MB
  iter 1300/14785  loss=20.5241  (cls 2.3248 ciou 2.2307 dfl 1.7833)  3.06 it/s  gpu_mem=22190 MB
  iter 1400/14785  loss=20.2767  (cls 2.4030 ciou 2.0871 dfl 1.7521)  3.07 it/s  gpu_mem=22190 MB
  iter 1500/14785  loss=19.8642  (cls 2.6568 ciou 2.1310 dfl 1.7917)  3.09 it/s  gpu_mem=22190 MB
  iter 1600/14785  loss=18.3633  (cls 1.5495 ciou 1.2364 dfl 1.3314)  3.10 it/s  gpu_mem=22190 MB
  iter 1700/14785  loss=18.6178  (cls 1.6216 ciou 1.6703 dfl 1.4602)  3.11 it/s  gpu_mem=22190 MB
  iter 1800/14785  loss=17.0804  (cls 1.8109 ciou 1.5765 dfl 1.3844)  3.11 it/s  gpu_mem=22190 MB
  iter 1900/14785  loss=19.7495  (cls 2.3911 ciou 2.0326 dfl 1.8119)  3.12 it/s  gpu_mem=22190 MB
  iter 2000/14785  loss=18.8654  (cls 2.3673 ciou 2.0572 dfl 1.7691)  3.13 it/s  gpu_mem=22190 MB
  iter 2100/14785  loss=19.5800  (cls 1.4892 ciou 1.4127 dfl 1.3798)  3.13 it/s  gpu_mem=22190 MB
  iter 2200/14785  loss=19.1152  (cls 2.2411 ciou 1.9582 dfl 1.6916)  3.14 it/s  gpu_mem=22190 MB
  iter 2300/14785  loss=21.3789  (cls 2.6787 ciou 2.3561 dfl 1.9006)  3.14 it/s  gpu_mem=22190 MB
  iter 2400/14785  loss=18.7144  (cls 2.4739 ciou 2.0053 dfl 1.7249)  3.15 it/s  gpu_mem=22190 MB
  iter 2500/14785  loss=20.8048  (cls 2.7613 ciou 2.0663 dfl 1.8414)  3.15 it/s  gpu_mem=22190 MB
  iter 2600/14785  loss=18.9332  (cls 2.6686 ciou 1.9304 dfl 1.7313)  3.15 it/s  gpu_mem=22190 MB
  iter 2700/14785  loss=20.1869  (cls 2.5363 ciou 2.2184 dfl 1.6608)  3.16 it/s  gpu_mem=22190 MB
  iter 2800/14785  loss=18.4341  (cls 1.5426 ciou 1.6257 dfl 1.4160)  3.16 it/s  gpu_mem=22190 MB
  iter 2900/14785  loss=20.7337  (cls 2.5299 ciou 2.0446 dfl 1.6967)  3.16 it/s  gpu_mem=22190 MB
  iter 3000/14785  loss=17.6521  (cls 1.6552 ciou 1.7392 dfl 1.4726)  3.16 it/s  gpu_mem=22190 MB
  iter 3100/14785  loss=19.8260  (cls 2.6128 ciou 2.0889 dfl 1.7858)  3.17 it/s  gpu_mem=22190 MB
  iter 3200/14785  loss=22.1281  (cls 2.6570 ciou 1.9642 dfl 1.8333)  3.17 it/s  gpu_mem=22190 MB
  iter 3300/14785  loss=20.5030  (cls 3.0620 ciou 1.9966 dfl 1.7853)  3.17 it/s  gpu_mem=22190 MB
  iter 3400/14785  loss=19.4432  (cls 2.4060 ciou 1.7894 dfl 1.6142)  3.18 it/s  gpu_mem=22190 MB
  iter 3500/14785  loss=18.6415  (cls 1.4955 ciou 1.2808 dfl 1.2751)  3.18 it/s  gpu_mem=22190 MB
  iter 3600/14785  loss=20.0247  (cls 2.6406 ciou 2.0879 dfl 1.7832)  3.18 it/s  gpu_mem=22190 MB
  iter 3700/14785  loss=20.1229  (cls 2.5357 ciou 2.0803 dfl 1.8419)  3.19 it/s  gpu_mem=22190 MB
  iter 3800/14785  loss=20.0627  (cls 1.9120 ciou 1.5566 dfl 1.4469)  3.19 it/s  gpu_mem=22190 MB
  iter 3900/14785  loss=18.9172  (cls 1.6068 ciou 1.4986 dfl 1.3760)  3.19 it/s  gpu_mem=22190 MB
  iter 4000/14785  loss=20.1070  (cls 2.3681 ciou 1.9844 dfl 1.8175)  3.19 it/s  gpu_mem=22190 MB
  iter 4100/14785  loss=20.3316  (cls 1.5179 ciou 1.6053 dfl 1.4840)  3.19 it/s  gpu_mem=22190 MB
  iter 4200/14785  loss=17.4098  (cls 1.4402 ciou 1.4409 dfl 1.3868)  3.19 it/s  gpu_mem=22190 MB
  iter 4300/14785  loss=17.0636  (cls 1.6844 ciou 1.5039 dfl 1.3520)  3.20 it/s  gpu_mem=22190 MB
  iter 4400/14785  loss=21.1884  (cls 2.4144 ciou 2.0767 dfl 1.8102)  3.20 it/s  gpu_mem=22190 MB
  iter 4500/14785  loss=16.7156  (cls 1.6793 ciou 1.5120 dfl 1.3857)  3.20 it/s  gpu_mem=22190 MB
  iter 4600/14785  loss=20.4032  (cls 1.9572 ciou 1.6169 dfl 1.4654)  3.20 it/s  gpu_mem=22190 MB
  iter 4700/14785  loss=16.9924  (cls 1.6667 ciou 1.5384 dfl 1.4019)  3.20 it/s  gpu_mem=22190 MB
  iter 4800/14785  loss=21.3427  (cls 2.7413 ciou 1.8723 dfl 1.7293)  3.20 it/s  gpu_mem=22190 MB
  iter 4900/14785  loss=21.1630  (cls 2.5404 ciou 2.0292 dfl 1.7208)  3.20 it/s  gpu_mem=22190 MB
  iter 5000/14785  loss=18.6075  (cls 1.6116 ciou 1.5521 dfl 1.5170)  3.20 it/s  gpu_mem=22190 MB
  iter 5100/14785  loss=17.6995  (cls 1.4967 ciou 1.6475 dfl 1.4398)  3.21 it/s  gpu_mem=22190 MB
  iter 5200/14785  loss=19.0784  (cls 1.5952 ciou 1.4884 dfl 1.3821)  3.21 it/s  gpu_mem=22190 MB
  iter 5300/14785  loss=18.2089  (cls 1.6781 ciou 1.6409 dfl 1.3809)  3.21 it/s  gpu_mem=22190 MB
  iter 5400/14785  loss=17.6644  (cls 1.6184 ciou 1.6666 dfl 1.4619)  3.21 it/s  gpu_mem=22190 MB
  iter 5500/14785  loss=18.1763  (cls 2.1748 ciou 1.8461 dfl 1.5960)  3.21 it/s  gpu_mem=22190 MB
  iter 5600/14785  loss=19.9099  (cls 2.6622 ciou 2.1785 dfl 1.9028)  3.21 it/s  gpu_mem=22190 MB
  iter 5700/14785  loss=17.3985  (cls 1.6796 ciou 1.5476 dfl 1.4136)  3.21 it/s  gpu_mem=22190 MB
  iter 5800/14785  loss=18.0466  (cls 1.5577 ciou 1.5301 dfl 1.3667)  3.21 it/s  gpu_mem=22190 MB
  iter 5900/14785  loss=17.6261  (cls 1.6295 ciou 1.6779 dfl 1.3810)  3.21 it/s  gpu_mem=22190 MB
  iter 6000/14785  loss=16.0740  (cls 1.8633 ciou 1.4060 dfl 1.2842)  3.22 it/s  gpu_mem=22190 MB
  iter 6100/14785  loss=20.9087  (cls 2.4140 ciou 2.0750 dfl 1.7698)  3.21 it/s  gpu_mem=22190 MB
  iter 6200/14785  loss=19.5191  (cls 2.4043 ciou 1.9336 dfl 1.7286)  3.22 it/s  gpu_mem=22190 MB
  iter 6300/14785  loss=19.9579  (cls 2.5416 ciou 2.1508 dfl 1.8377)  3.22 it/s  gpu_mem=22190 MB
  iter 6400/14785  loss=20.3007  (cls 2.1940 ciou 2.0259 dfl 1.6581)  3.22 it/s  gpu_mem=22190 MB
  iter 6500/14785  loss=18.5185  (cls 1.6184 ciou 1.5267 dfl 1.3869)  3.22 it/s  gpu_mem=22190 MB
  iter 6600/14785  loss=21.0252  (cls 2.4407 ciou 2.1952 dfl 1.8678)  3.22 it/s  gpu_mem=22190 MB
  iter 6700/14785  loss=19.9302  (cls 2.4104 ciou 2.1701 dfl 1.7523)  3.22 it/s  gpu_mem=22190 MB
  iter 6800/14785  loss=19.8581  (cls 2.5304 ciou 2.0442 dfl 1.7463)  3.22 it/s  gpu_mem=22190 MB
  iter 6900/14785  loss=17.3569  (cls 1.7026 ciou 1.6652 dfl 1.3754)  3.22 it/s  gpu_mem=22190 MB
  iter 7000/14785  loss=17.9774  (cls 1.7230 ciou 1.7392 dfl 1.4826)  3.22 it/s  gpu_mem=22190 MB
  iter 7100/14785  loss=20.4247  (cls 2.5138 ciou 2.0731 dfl 1.7626)  3.22 it/s  gpu_mem=22190 MB
  iter 7200/14785  loss=19.3372  (cls 2.0856 ciou 1.7615 dfl 1.5587)  3.22 it/s  gpu_mem=22190 MB
  iter 7300/14785  loss=19.4106  (cls 2.4636 ciou 1.7980 dfl 1.6838)  3.22 it/s  gpu_mem=22190 MB
  iter 7400/14785  loss=18.8709  (cls 2.4137 ciou 1.9428 dfl 1.7675)  3.23 it/s  gpu_mem=22190 MB
  iter 7500/14785  loss=19.5201  (cls 1.5934 ciou 1.6456 dfl 1.5385)  3.23 it/s  gpu_mem=22190 MB
  iter 7600/14785  loss=18.6433  (cls 2.3897 ciou 1.8246 dfl 1.6782)  3.23 it/s  gpu_mem=22190 MB
  iter 7700/14785  loss=17.8213  (cls 1.9494 ciou 1.5111 dfl 1.3455)  3.23 it/s  gpu_mem=22190 MB
  iter 7800/14785  loss=21.2738  (cls 3.0360 ciou 2.2453 dfl 1.9358)  3.23 it/s  gpu_mem=22190 MB
  iter 7900/14785  loss=16.6552  (cls 1.5444 ciou 1.3688 dfl 1.4129)  3.23 it/s  gpu_mem=22190 MB
  iter 8000/14785  loss=19.0427  (cls 1.6718 ciou 1.5074 dfl 1.4340)  3.23 it/s  gpu_mem=22190 MB
  iter 8100/14785  loss=20.1727  (cls 2.2561 ciou 1.9128 dfl 1.7308)  3.23 it/s  gpu_mem=22190 MB
  iter 8200/14785  loss=20.0601  (cls 2.3539 ciou 1.8568 dfl 1.6507)  3.23 it/s  gpu_mem=22190 MB
  iter 8300/14785  loss=18.1879  (cls 1.6808 ciou 1.6172 dfl 1.3945)  3.23 it/s  gpu_mem=22190 MB
  iter 8400/14785  loss=21.0234  (cls 2.5274 ciou 2.0674 dfl 1.8396)  3.23 it/s  gpu_mem=22190 MB
  iter 8500/14785  loss=17.6015  (cls 1.5227 ciou 1.5498 dfl 1.4241)  3.23 it/s  gpu_mem=22190 MB
  iter 8600/14785  loss=21.2519  (cls 2.6849 ciou 2.1339 dfl 1.7725)  3.23 it/s  gpu_mem=22190 MB
  iter 8700/14785  loss=19.3774  (cls 2.1953 ciou 1.9867 dfl 1.6623)  3.23 it/s  gpu_mem=22190 MB
